,scenario,run,acc,f1_score,auroc
179,df_to_dp_72,2,0.4250,0.3309,0.8758
180,df_to_dp_73,2,0.2500,0.1000,0.6975
181,df_to_dp_74,2,0.4054,0.2877,0.5824
182,df_to_dp_75,2,0.3750,0.2917,0.8742
183,df_to_dp_15,3,0.4500,0.3790,0.6667
184,df_to_dp_16,3,0.5250,0.5332,0.8400
185,df_to_dp_17,3,0.3000,0.2115,0.5992
186,df_to_dp_18,3,0.2500,0.1667,0.6483
187,df_to_dp_19,3,0.3750,0.3005,0.6458
188,df_to_dp_20,3,0.6250,0.5618,0.8942
189,df_to_dp_21,3,0.4750,0.4311,0.7108
190,df_to_dp_22,3,0.5000,0.4545,0.7167
191,df_to_dp_23,3,0.6000,0.4951,0.7325
192,df_to_dp_24,3,0.4750,0.3588,0.6642
193,df_to_dp_25,3,0.5000,0.4062,0.6575
194,df_to_dp_26,3,0.6750,0.6129,0.7933
195,df_to_dp_27,3,0.4250,0.3611,0.7375
196,df_to_dp_28,3,0.6000,0.5497,0.7125
197,df_to_dp_29,3,0.4000,0.3047,0.7542
198,df_to_dp_30,3,0.4250,0.3704,0.5842
199,df_to_dp_31,3,0.3250,0.2004,0.6225
200,df_to_dp_32,3,0.4250,0.3851,0.7158
201,df_to_dp_33,3,0.5750,0.5238,0.7342
202,df_to_dp_34,3,0.6250,0.5595,0.7067
203,df_to_dp_35,3,0.3250,0.2354,0.6608
204,df_to_dp_36,3,0.3250,0.2213,0.8208
205,df_to_dp_37,3,0.4500,0.3864,0.7283
206,df_to_dp_38,3,0.5500,0.4649,0.8092
207,df_to_dp_39,3,0.4000,0.3191,0.9133
208,df_to_dp_40,3,0.5500,0.4936,0.8183
209,df_to_dp_41,3,0.3250,0.2470,0.4833
210,df_to_dp_42,3,0.5250,0.4674,0.8083
211,df_to_dp_43,3,0.5500,0.4904,0.5492
212,df_to_dp_44,3,0.6750,0.5903,0.8283
213,df_to_dp_45,3,0.5000,0.4761,0.8192
214,df_to_dp_46,3,0.5250,0.4237,0.7575
215,df_to_dp_47,3,0.6750,0.6057,0.9533
216,df_to_dp_48,3,0.6250,0.5417,0.9433
217,df_to_dp_49,3,0.2750,0.2401,0.6292
218,df_to_dp_50,3,0.7750,0.7009,1.0000
219,df_to_dp_51,3,0.5250,0.4714,0.7733
220,df_to_dp_52,3,0.7000,0.6828,0.8825
221,df_to_dp_53,3,0.7000,0.6162,0.6683
222,df_to_dp_54,3,0.4750,0.4041,0.8458
223,df_to_dp_55,3,0.5500,0.5224,0.8892
224,df_to_dp_56,3,0.7500,0.6667,0.9300
225,df_to_dp_57,3,0.6750,0.6002,0.9933
226,df_to_dp_58,3,0.4000,0.3523,0.7292
227,df_to_dp_59,3,0.5250,0.4113,0.8925
228,df_to_dp_60,3,0.4250,0.3222,0.6963
229,df_to_dp_61,3,0.5500,0.4827,0.7633
230,df_to_dp_62,3,0.4500,0.3988,0.8392
231,df_to_dp_63,3,0.7000,0.6526,0.9475
232,df_to_dp_64,3,0.6750,0.5933,0.9275
233,df_to_dp_65,3,0.5500,0.4621,0.8983
234,df_to_dp_66,3,0.4500,0.3868,0.7817
235,df_to_dp_67,3,0.3500,0.2673,0.7833
236,df_to_dp_68,3,0.4250,0.3179,0.7533
237,df_to_dp_69,3,0.6250,0.5533,0.9000
238,df_to_dp_70,3,0.6250,0.5500,0.8458
239,df_to_dp_71,3,0.5750,0.4933,0.9642
240,df_to_dp_72,3,0.3750,0.2429,0.8242
241,df_to_dp_73,3,0.4250,0.3222,0.7400
242,df_to_dp_74,3,0.3514,0.2566,0.6213
243,df_to_dp_75,3,0.6500,0.6255,0.9642
244,df_to_dp_15,4,0.2500,0.1020,0.3700
245,df_to_dp_16,4,0.4750,0.3618,0.8242
246,df_to_dp_17,4,0.5000,0.3750,0.4975
247,df_to_dp_18,4,0.4500,0.3472,0.6992
248,df_to_dp_19,4,0.4000,0.3125,0.5792
249,df_to_dp_20,4,0.5000,0.3750,0.8900
250,df_to_dp_21,4,0.5000,0.3750,0.7333
251,df_to_dp_22,4,0.5000,0.3782,0.7242
252,df_to_dp_23,4,0.5000,0.3971,0.6975
253,df_to_dp_24,4,0.4750,0.3588,0.7058
254,df_to_dp_25,4,0.5000,0.3750,0.5858
255,df_to_dp_26,4,0.5250,0.4489,0.8350
256,df_to_dp_27,4,0.5000,0.3750,0.7867
257,df_to_dp_28,4,0.5000,0.3750,0.6292
258,df_to_dp_29,4,0.3750,0.2429,0.7908
259,df_to_dp_30,4,0.5750,0.5005,0.5967
260,df_to_dp_31,4,0.5000,0.3750,0.6346
261,df_to_dp_32,4,0.5000,0.3750,0.6933
262,df_to_dp_33,4,0.5000,0.3851,0.7625
263,df_to_dp_34,4,0.4500,0.3413,0.5658
264,df_to_dp_35,4,0.5000,0.3750,0.6267
265,df_to_dp_36,4,0.3250,0.2404,0.8342
266,df_to_dp_37,4,0.5000,0.3750,0.7042
267,df_to_dp_38,4,0.5250,0.4237,0.5842
268,df_to_dp_39,4,0.3500,0.2540,0.7517
269,df_to_dp_40,4,0.5000,0.3750,0.7758
270,df_to_dp_41,4,0.4750,0.3588,0.5708
271,df_to_dp_42,4,0.4500,0.3413,0.8075
272,df_to_dp_43,4,0.3750,0.2803,0.5133
273,df_to_dp_44,4,0.5750,0.5121,0.7867
274,df_to_dp_45,4,0.5000,0.3750,0.7150
275,df_to_dp_46,4,0.5250,0.4237,0.7425
276,df_to_dp_47,4,0.4500,0.3857,0.8767
277,df_to_dp_48,4,0.6000,0.5280,0.8842
278,df_to_dp_49,4,0.5000,0.3750,0.6283
279,df_to_dp_50,4,0.7250,0.6328,0.9267
280,df_to_dp_51,4,0.5250,0.4237,0.8100
281,df_to_dp_52,4,0.5000,0.3750,0.7483
282,df_to_dp_53,4,0.5000,0.3750,0.6450
283,df_to_dp_54,4,0.5000,0.3750,0.9283
284,df_to_dp_55,4,0.4500,0.3472,0.7683
285,df_to_dp_56,4,0.6750,0.6074,0.9650
286,df_to_dp_57,4,0.7250,0.6417,0.9442
287,df_to_dp_58,4,0.4250,0.3690,0.6667
288,df_to_dp_59,4,0.4250,0.3569,0.8558
289,df_to_dp_60,4,0.3500,0.2516,0.6567
290,df_to_dp_61,4,0.4750,0.3588,0.6750
291,df_to_dp_62,4,0.5250,0.4237,0.8225
292,df_to_dp_63,4,0.5250,0.4316,0.9242
293,df_to_dp_64,4,0.5750,0.5005,0.9242
294,df_to_dp_65,4,0.2500,0.1000,0.4792
295,df_to_dp_66,4,0.2500,0.1000,0.5842
296,df_to_dp_67,4,0.5000,0.3663,0.8717
297,df_to_dp_68,4,0.3750,0.2713,0.7583
298,df_to_dp_69,4,0.2500,0.1000,0.7283
299,df_to_dp_70,4,0.5500,0.4596,0.8217
