,scenario,run,acc,f1_score,auroc
107,syn_wal_16_to_dp_wal_16,7,0.7000,0.6231,0.8617
108,syn_wal_16_to_dp_wal_16,8,0.6000,0.5491,0.8242
109,syn_wal_16_to_dp_wal_16,9,0.5750,0.5005,0.8567
110,syn_wal_17_to_dp_wal_17,0,0.3000,0.2871,0.6517
111,syn_wal_17_to_dp_wal_17,1,0.6500,0.5785,0.8158
112,syn_wal_17_to_dp_wal_17,2,0.4250,0.3492,0.7167
113,syn_wal_17_to_dp_wal_17,3,0.3750,0.3875,0.6442
114,syn_wal_17_to_dp_wal_17,4,0.6000,0.5321,0.8425
115,syn_wal_17_to_dp_wal_17,5,0.4750,0.4666,0.7858
116,syn_wal_17_to_dp_wal_17,6,0.3500,0.4172,0.6967
117,syn_wal_17_to_dp_wal_17,7,0.4500,0.4620,0.7717
118,syn_wal_17_to_dp_wal_17,8,0.6000,0.5761,0.8717
119,syn_wal_17_to_dp_wal_17,9,0.6750,0.6069,0.7792
120,syn_wal_18_to_dp_wal_18,0,0.4500,0.3842,0.7350
121,syn_wal_18_to_dp_wal_18,1,0.4250,0.3472,0.7108
122,syn_wal_18_to_dp_wal_18,2,0.4750,0.3716,0.7125
123,syn_wal_18_to_dp_wal_18,3,0.5000,0.4171,0.7550
124,syn_wal_18_to_dp_wal_18,4,0.4750,0.3684,0.7158
125,syn_wal_18_to_dp_wal_18,5,0.5000,0.3782,0.7567
126,syn_wal_18_to_dp_wal_18,6,0.5000,0.3782,0.8267
127,syn_wal_18_to_dp_wal_18,7,0.5000,0.3782,0.7133
128,syn_wal_18_to_dp_wal_18,8,0.4750,0.3684,0.7175
129,syn_wal_18_to_dp_wal_18,9,0.5000,0.3782,0.7350
130,syn_wal_19_to_dp_wal_19,0,0.2500,0.2500,0.5167
131,syn_wal_19_to_dp_wal_19,1,0.2250,0.2607,0.5542
132,syn_wal_19_to_dp_wal_19,2,0.2250,0.2607,0.5950
133,syn_wal_19_to_dp_wal_19,3,0.1750,0.2059,0.5617
134,syn_wal_19_to_dp_wal_19,4,0.2500,0.2500,0.6217
135,syn_wal_19_to_dp_wal_19,5,0.2500,0.2500,0.6375
136,syn_wal_19_to_dp_wal_19,6,0.2500,0.2500,0.6533
137,syn_wal_19_to_dp_wal_19,7,0.2500,0.2500,0.6192
138,syn_wal_19_to_dp_wal_19,8,0.2750,0.2661,0.5058
139,syn_wal_19_to_dp_wal_19,9,0.2500,0.2500,0.5092
140,syn_wal_20_to_dp_wal_20,0,0.4750,0.3931,0.6300
141,syn_wal_20_to_dp_wal_20,1,0.2500,0.1667,0.4217
142,syn_wal_20_to_dp_wal_20,2,0.3500,0.3095,0.5692
143,syn_wal_20_to_dp_wal_20,3,0.3500,0.3041,0.6192
144,syn_wal_20_to_dp_wal_20,4,0.5000,0.4062,0.6333
145,syn_wal_20_to_dp_wal_20,5,0.2000,0.1429,0.4267
146,syn_wal_20_to_dp_wal_20,6,0.2500,0.1471,0.6600
147,syn_wal_20_to_dp_wal_20,7,0.4500,0.3785,0.6525
148,syn_wal_20_to_dp_wal_20,8,0.4000,0.3438,0.6542
149,syn_wal_20_to_dp_wal_20,9,0.2500,0.1351,0.7317
150,syn_wal_21_to_dp_wal_21,0,0.6250,0.5426,0.7050
151,syn_wal_21_to_dp_wal_21,1,0.5750,0.5281,0.6683
152,syn_wal_21_to_dp_wal_21,2,0.4250,0.3308,0.5558
153,syn_wal_21_to_dp_wal_21,3,0.5250,0.4309,0.6792
154,syn_wal_21_to_dp_wal_21,4,0.5000,0.4354,0.6483
155,syn_wal_21_to_dp_wal_21,5,0.5750,0.4800,0.7242
156,syn_wal_21_to_dp_wal_21,6,0.6000,0.5499,0.7008
157,syn_wal_21_to_dp_wal_21,7,0.4750,0.3827,0.6875
158,syn_wal_21_to_dp_wal_21,8,0.6000,0.5179,0.7175
159,syn_wal_21_to_dp_wal_21,9,0.4000,0.3081,0.5967
160,syn_wal_22_to_dp_wal_22,0,0.6250,0.5480,0.8192
161,syn_wal_22_to_dp_wal_22,1,0.7250,0.6278,0.8558
162,syn_wal_22_to_dp_wal_22,2,0.6750,0.5917,0.8500
163,syn_wal_22_to_dp_wal_22,3,0.7000,0.6012,0.8733
164,syn_wal_22_to_dp_wal_22,4,0.6750,0.5917,0.8650
165,syn_wal_22_to_dp_wal_22,5,0.7000,0.6029,0.8908
166,syn_wal_22_to_dp_wal_22,6,0.7000,0.6200,0.8408
167,syn_wal_22_to_dp_wal_22,7,0.7250,0.6298,0.8067
168,syn_wal_22_to_dp_wal_22,8,0.6750,0.5917,0.8600
169,syn_wal_22_to_dp_wal_22,9,0.6750,0.5917,0.8275
170,syn_wal_23_to_dp_wal_23,0,0.5000,0.4583,0.5675
171,syn_wal_23_to_dp_wal_23,1,0.3500,0.3289,0.5658
172,syn_wal_23_to_dp_wal_23,2,0.4750,0.3654,0.6075
173,syn_wal_23_to_dp_wal_23,3,0.3750,0.3500,0.5575
174,syn_wal_23_to_dp_wal_23,4,0.4750,0.4167,0.5867
175,syn_wal_23_to_dp_wal_23,5,0.5500,0.4983,0.5950
176,syn_wal_23_to_dp_wal_23,6,0.5250,0.4643,0.6042
177,syn_wal_23_to_dp_wal_23,7,0.5000,0.3750,0.5758
178,syn_wal_23_to_dp_wal_23,8,0.4500,0.4100,0.5983
179,syn_wal_23_to_dp_wal_23,9,0.5250,0.4708,0.6675
180,syn_wal_24_to_dp_wal_24,0,0.5500,0.4904,0.7983
181,syn_wal_24_to_dp_wal_24,1,0.6000,0.5262,0.7258
182,syn_wal_24_to_dp_wal_24,2,0.5500,0.4828,0.8067
183,syn_wal_24_to_dp_wal_24,3,0.4000,0.3817,0.7800
184,syn_wal_24_to_dp_wal_24,4,0.3750,0.3333,0.7917
185,syn_wal_24_to_dp_wal_24,5,0.5500,0.5384,0.7983
186,syn_wal_24_to_dp_wal_24,6,0.4250,0.3799,0.7667
187,syn_wal_24_to_dp_wal_24,7,0.3750,0.3362,0.7858
188,syn_wal_24_to_dp_wal_24,8,0.5500,0.5262,0.7667
189,syn_wal_24_to_dp_wal_24,9,0.4250,0.3989,0.7825
190,syn_wal_25_to_dp_wal_25,0,0.4250,0.3184,0.5950
191,syn_wal_25_to_dp_wal_25,1,0.3500,0.2833,0.5267
192,syn_wal_25_to_dp_wal_25,2,0.4250,0.2943,0.5783
