,scenario,run,acc,f1_score,auroc
136,syn_74_to_dp_74,6,0.3229,0.2793,0.6690
137,syn_74_to_dp_74,7,0.3073,0.2418,0.6571
138,syn_74_to_dp_74,8,0.3073,0.2159,0.6900
139,syn_74_to_dp_74,9,0.3333,0.2919,0.6744
140,syn_75_to_dp_75,0,0.5300,0.4738,0.7979
141,syn_75_to_dp_75,1,0.5650,0.5204,0.8373
142,syn_75_to_dp_75,2,0.5950,0.5963,0.8496
143,syn_75_to_dp_75,3,0.5900,0.5486,0.8434
144,syn_75_to_dp_75,4,0.5950,0.5807,0.8562
145,syn_75_to_dp_75,5,0.6000,0.5668,0.8507
146,syn_75_to_dp_75,6,0.6750,0.6447,0.8764
147,syn_75_to_dp_75,7,0.5550,0.5427,0.8177
148,syn_75_to_dp_75,8,0.6450,0.6253,0.8663
149,syn_75_to_dp_75,9,0.6000,0.5358,0.8591
150,mean,-,0.5609,0.5080,0.8215
151,std,-,0.0937,0.1004,0.0686
