,scenario,run,acc,f1_score,auroc
374,df_to_dp_14,6,0.3250,0.1996,0.6858
375,df_to_dp_15,6,0.7000,0.7145,0.8967
376,df_to_dp_16,6,0.7000,0.6216,0.8725
377,df_to_dp_17,6,0.4250,0.3503,0.6842
378,df_to_dp_18,6,0.2250,0.1639,0.7075
379,df_to_dp_19,6,0.3500,0.3839,0.5492
380,df_to_dp_20,6,0.5000,0.4073,0.8800
381,df_to_dp_21,6,0.4500,0.3868,0.6092
382,df_to_dp_22,6,0.2500,0.2850,0.5442
383,df_to_dp_23,6,0.5750,0.5224,0.8083
384,df_to_dp_24,6,0.5250,0.4558,0.8033
385,df_to_dp_25,6,0.3750,0.3068,0.7150
386,df_to_dp_26,6,0.2500,0.2500,0.5517
387,df_to_dp_27,6,0.4750,0.4333,0.8800
388,df_to_dp_28,6,0.4500,0.4207,0.7333
389,df_to_dp_29,6,0.4500,0.3520,0.6375
390,df_to_dp_30,6,0.5000,0.3333,0.9917
391,df_to_dp_31,6,0.5500,0.5302,0.7933
392,df_to_dp_32,6,0.0250,0.0125,0.2825
393,df_to_dp_33,6,0.6250,0.5501,0.9525
394,df_to_dp_34,6,0.1000,0.0588,0.4967
395,df_to_dp_35,6,0.4500,0.4048,0.8617
396,df_to_dp_36,6,0.5000,0.3851,0.7225
397,df_to_dp_37,6,0.4750,0.3588,0.8558
398,df_to_dp_38,6,0.4000,0.3303,0.7067
399,df_to_dp_39,6,0.5000,0.3675,0.5750
400,df_to_dp_40,6,0.5000,0.3750,0.8317
401,df_to_dp_41,6,0.4250,0.3492,0.8233
402,df_to_dp_42,6,0.4000,0.4183,0.7200
403,df_to_dp_43,6,0.4500,0.3442,0.8517
404,df_to_dp_44,6,0.3500,0.3121,0.6542
405,df_to_dp_45,6,0.4250,0.3936,0.6250
406,df_to_dp_46,6,0.5000,0.3851,0.7067
407,df_to_dp_47,6,0.1500,0.1360,0.5142
408,df_to_dp_48,6,0.3750,0.3059,0.6558
409,df_to_dp_49,6,0.1500,0.1604,0.4908
410,df_to_dp_50,6,0.3000,0.2602,0.6142
411,df_to_dp_51,6,0.2500,0.1000,0.6675
412,df_to_dp_52,6,0.6000,0.5812,0.7250
413,df_to_dp_53,6,0.4250,0.3663,0.7508
414,df_to_dp_54,6,0.3000,0.2751,0.5550
415,df_to_dp_55,6,0.5750,0.5024,0.8792
416,df_to_dp_56,6,0.7250,0.6345,0.8083
417,df_to_dp_57,6,0.3500,0.2527,0.7767
418,df_to_dp_58,6,0.5750,0.5081,0.7725
419,df_to_dp_59,6,0.4250,0.2873,0.7550
420,df_to_dp_60,6,0.5000,0.4421,0.7258
421,df_to_dp_61,6,0.4000,0.2802,0.8525
422,df_to_dp_62,6,0.4250,0.3133,0.8392
423,df_to_dp_63,6,0.4000,0.3571,0.7483
424,df_to_dp_64,6,0.2500,0.1000,0.8233
425,df_to_dp_65,6,0.2703,0.1351,0.5630
426,df_to_dp_66,6,0.3000,0.1897,0.6142
427,df_to_dp_6,7,0.4000,0.3875,0.5733
428,df_to_dp_7,7,0.5000,0.5157,0.7742
429,df_to_dp_8,7,0.7000,0.6856,0.8600
430,df_to_dp_9,7,0.6750,0.5971,0.7558
431,df_to_dp_10,7,0.5500,0.4628,0.8492
432,df_to_dp_11,7,0.6250,0.5568,0.8300
433,df_to_dp_12,7,0.7000,0.6808,0.7925
434,df_to_dp_13,7,0.5750,0.5000,0.8258
435,df_to_dp_14,7,0.3000,0.1782,0.7183
436,df_to_dp_15,7,0.8000,0.8040,0.8892
437,df_to_dp_16,7,0.6750,0.5971,0.8700
438,df_to_dp_17,7,0.5000,0.3929,0.6242
439,df_to_dp_18,7,0.4250,0.3083,0.6450
440,df_to_dp_19,7,0.3500,0.3676,0.6583
441,df_to_dp_20,7,0.5750,0.4798,0.8850
442,df_to_dp_21,7,0.4750,0.4208,0.5700
443,df_to_dp_22,7,0.6000,0.5469,0.6392
444,df_to_dp_23,7,0.6000,0.5442,0.8342
445,df_to_dp_24,7,0.5000,0.4207,0.8083
446,df_to_dp_25,7,0.4500,0.3673,0.6700
447,df_to_dp_26,7,0.2500,0.2500,0.4867
448,df_to_dp_27,7,0.5500,0.5174,0.9142
449,df_to_dp_28,7,0.7250,0.6976,0.8142
450,df_to_dp_29,7,0.5750,0.4938,0.6533
451,df_to_dp_30,7,0.6500,0.5625,1.0000
452,df_to_dp_31,7,0.4250,0.3846,0.6908
453,df_to_dp_32,7,0.1250,0.0568,0.3517
454,df_to_dp_33,7,0.5250,0.4485,0.9625
455,df_to_dp_34,7,0.3500,0.3012,0.5408
456,df_to_dp_35,7,0.5750,0.5148,0.8650
457,df_to_dp_36,7,0.5500,0.4595,0.7525
458,df_to_dp_37,7,0.5000,0.3782,0.8533
459,df_to_dp_38,7,0.6250,0.5471,0.7083
460,df_to_dp_39,7,0.7250,0.6416,0.8450
461,df_to_dp_40,7,0.4250,0.3222,0.6800
462,df_to_dp_41,7,0.6500,0.5771,0.6792
463,df_to_dp_42,7,0.5500,0.5477,0.7908
464,df_to_dp_43,7,0.5000,0.3782,0.8392
465,df_to_dp_44,7,0.2750,0.2717,0.5417
466,df_to_dp_45,7,0.5250,0.4672,0.7333
467,df_to_dp_46,7,0.5000,0.3750,0.6667
468,df_to_dp_47,7,0.4750,0.4363,0.6542
469,df_to_dp_48,7,0.4750,0.3588,0.5933
470,df_to_dp_49,7,0.3000,0.1833,0.5633
471,df_to_dp_50,7,0.4250,0.3500,0.5467
472,df_to_dp_51,7,0.4250,0.3222,0.6750
473,df_to_dp_52,7,0.6500,0.6290,0.7800
474,df_to_dp_53,7,0.5500,0.4596,0.7367
475,df_to_dp_54,7,0.5500,0.5239,0.6642
476,df_to_dp_55,7,0.5500,0.4603,0.8817
477,df_to_dp_56,7,0.4250,0.4457,0.6925
478,df_to_dp_57,7,0.2750,0.1786,0.6267
479,df_to_dp_58,7,0.6250,0.5275,0.8158
480,df_to_dp_59,7,0.5000,0.4236,0.7175
481,df_to_dp_60,7,0.4500,0.4401,0.7067
482,df_to_dp_61,7,0.6250,0.5583,0.8850
483,df_to_dp_62,7,0.5750,0.4933,0.8892
484,df_to_dp_63,7,0.4750,0.3786,0.6675
485,df_to_dp_64,7,0.4250,0.3222,0.7450
486,df_to_dp_65,7,0.2703,0.1667,0.6167
487,df_to_dp_66,7,0.5500,0.4621,0.6692
488,df_to_dp_6,8,0.6000,0.4976,0.7858
489,df_to_dp_7,8,0.4000,0.4178,0.7083
490,df_to_dp_8,8,0.5500,0.5419,0.8492
491,df_to_dp_9,8,0.6500,0.5715,0.7317
492,df_to_dp_10,8,0.3250,0.2416,0.8267
493,df_to_dp_11,8,0.6500,0.5633,0.8142
494,df_to_dp_12,8,0.6250,0.6071,0.7717
495,df_to_dp_13,8,0.5000,0.4283,0.8683
496,df_to_dp_14,8,0.4000,0.3222,0.6229
