,scenario,run,acc,f1_score,auroc
136,df_to_dp_62,9,0.6450,0.5806,0.9237
137,df_to_dp_63,9,0.5450,0.4932,0.7080
138,df_to_dp_64,9,0.6500,0.5978,0.9089
139,df_to_dp_65,9,0.6650,0.6047,0.9062
140,df_to_dp_66,9,0.5500,0.4959,0.7323
141,df_to_dp_67,9,0.5050,0.3932,0.8675
142,df_to_dp_68,9,0.2550,0.1320,0.7778
143,df_to_dp_69,9,0.6200,0.5594,0.8424
144,df_to_dp_70,9,0.6000,0.5264,0.7551
145,df_to_dp_71,9,0.5900,0.5399,0.9233
146,df_to_dp_72,9,0.6300,0.5647,0.8869
147,df_to_dp_73,9,0.5150,0.4064,0.9139
148,df_to_dp_74,9,0.5260,0.3839,0.9143
149,df_to_dp_75,9,0.6000,0.5293,0.8899
150,mean,-,0.6041,0.5522,0.8517
151,std,-,0.1295,0.1475,0.0913
