,scenario,run,src_risk,few_shot_risk,trg_risk
195,syn_25_to_dp_25,5,0.0321,2.4443,3.9642
196,syn_25_to_dp_25,6,0.0060,1.9474,3.0752
197,syn_25_to_dp_25,7,0.0106,3.8238,5.8111
198,syn_25_to_dp_25,8,0.0070,2.7560,3.8803
199,syn_25_to_dp_25,9,0.0096,2.4465,4.4785
200,syn_26_to_dp_26,0,0.0034,2.2606,1.5246
201,syn_26_to_dp_26,1,0.0021,2.2174,1.2418
202,syn_26_to_dp_26,2,0.0009,2.5536,1.6971
203,syn_26_to_dp_26,3,0.0046,1.4291,1.3033
204,syn_26_to_dp_26,4,0.0042,2.2885,2.2532
205,syn_26_to_dp_26,5,0.0029,2.1993,1.8771
206,syn_26_to_dp_26,6,0.0014,2.8993,1.8206
207,syn_26_to_dp_26,7,0.0009,2.0046,1.2873
208,syn_26_to_dp_26,8,0.0016,2.9348,2.2316
209,syn_26_to_dp_26,9,0.0005,2.1156,1.1739
210,syn_27_to_dp_27,0,0.0285,1.7591,1.1595
211,syn_27_to_dp_27,1,0.0018,1.1903,1.1501
212,syn_27_to_dp_27,2,0.0029,2.3322,2.2106
213,syn_27_to_dp_27,3,0.0022,0.9946,0.9757
214,syn_27_to_dp_27,4,0.0010,1.2943,1.1911
215,syn_27_to_dp_27,5,0.0016,1.6350,2.0661
216,syn_27_to_dp_27,6,0.0013,1.8647,2.1413
217,syn_27_to_dp_27,7,0.0013,1.8991,1.5782
218,syn_27_to_dp_27,8,0.0014,2.5962,2.5349
219,syn_27_to_dp_27,9,0.0011,1.6467,1.6587
220,syn_28_to_dp_28,0,0.0089,3.1057,1.9291
221,syn_28_to_dp_28,1,0.0063,2.3855,3.4007
222,syn_28_to_dp_28,2,0.0038,1.4623,1.3226
223,syn_28_to_dp_28,3,0.0010,2.2068,1.8170
224,syn_28_to_dp_28,4,0.0058,2.2489,2.2878
225,syn_28_to_dp_28,5,0.0016,1.9123,2.9214
226,syn_28_to_dp_28,6,0.0098,1.6641,2.7649
227,syn_28_to_dp_28,7,0.0014,2.3140,1.8377
228,syn_28_to_dp_28,8,0.0008,2.3659,3.3199
229,syn_28_to_dp_28,9,0.0013,2.7077,2.6440
230,syn_29_to_dp_29,0,0.0290,1.2170,1.4144
231,syn_29_to_dp_29,1,0.0285,0.7262,0.9023
232,syn_29_to_dp_29,2,0.0500,1.9005,2.0918
233,syn_29_to_dp_29,3,0.0294,1.5270,1.3585
234,syn_29_to_dp_29,4,0.0377,1.2162,1.5178
235,syn_29_to_dp_29,5,0.0246,0.9332,1.3129
236,syn_29_to_dp_29,6,0.0343,1.1328,1.4809
237,syn_29_to_dp_29,7,0.0186,0.9304,1.1010
238,syn_29_to_dp_29,8,0.0154,1.1051,1.3083
239,syn_29_to_dp_29,9,0.0618,1.4249,1.4669
240,syn_30_to_dp_30,0,0.0102,3.6184,3.1382
241,syn_30_to_dp_30,1,0.0090,4.7222,4.3270
242,syn_30_to_dp_30,2,0.0097,4.4876,4.8631
243,syn_30_to_dp_30,3,0.0171,4.7052,4.8728
244,syn_30_to_dp_30,4,0.0092,4.5236,3.9604
245,syn_30_to_dp_30,5,0.0188,6.0405,6.3314
246,syn_30_to_dp_30,6,0.0195,5.3111,4.6582
247,syn_30_to_dp_30,7,0.0176,5.2943,5.1504
248,syn_30_to_dp_30,8,0.0264,4.0382,3.5916
249,syn_30_to_dp_30,9,0.0166,4.3749,5.2722
250,syn_31_to_dp_31,0,0.0077,2.9980,2.8142
251,syn_31_to_dp_31,1,0.0042,2.2122,2.0575
252,syn_31_to_dp_31,2,0.0008,2.6977,2.5241
253,syn_31_to_dp_31,3,0.0012,2.1206,1.7552
254,syn_31_to_dp_31,4,0.0048,3.8835,3.5198
255,syn_31_to_dp_31,5,0.0025,2.8772,3.1111
256,syn_31_to_dp_31,6,0.0042,3.1238,3.7899
257,syn_31_to_dp_31,7,0.0009,2.3576,1.5882
258,syn_31_to_dp_31,8,0.0013,3.2701,2.5503
259,syn_31_to_dp_31,9,0.0044,2.8083,2.4695
260,syn_32_to_dp_32,0,0.0143,3.2750,4.9642
261,syn_32_to_dp_32,1,0.0109,2.8960,5.6839
262,syn_32_to_dp_32,2,0.0134,3.8795,6.1280
263,syn_32_to_dp_32,3,0.0188,5.7645,5.9876
264,syn_32_to_dp_32,4,0.0130,2.5991,4.3803
265,syn_32_to_dp_32,5,0.0161,2.7335,6.1737
266,syn_32_to_dp_32,6,0.0155,1.7371,5.2145
267,syn_32_to_dp_32,7,0.0204,3.1761,4.9739
268,syn_32_to_dp_32,8,0.0081,2.6455,5.3972
269,syn_32_to_dp_32,9,0.0117,4.3669,6.1927
270,syn_33_to_dp_33,0,0.0231,1.8155,1.7344
271,syn_33_to_dp_33,1,0.0467,4.2139,2.4816
272,syn_33_to_dp_33,2,0.0117,3.5244,2.3395
273,syn_33_to_dp_33,3,0.0200,4.0890,2.8612
274,syn_33_to_dp_33,4,0.1265,1.1241,1.7817
275,syn_33_to_dp_33,5,0.0306,2.5529,1.7843
